id,statement,label
ai2-adapt-dev/flan_v2_converted_80387,Methuselah is the grandfather of Noah.,1
ai2-adapt-dev/flan_v2_converted_80387,Methuselah is the grandfather of Enoch.,0
ai2-adapt-dev/flan_v2_converted_80393,Stephen Sondheim wrote "Send In the Clowns".,1
ai2-adapt-dev/flan_v2_converted_80393,Post Malone wrote "Send In the Clowns".,0
ai2-adapt-dev/flan_v2_converted_80401,A blacksmith is a man using an anvil and working with metal.,1
ai2-adapt-dev/flan_v2_converted_80401,A doctor is a man using an anvil and working with metal.,0
ai2-adapt-dev/flan_v2_converted_80408,The Nobel Prize wasn't yet established when Shakespeare was alive.,1
ai2-adapt-dev/flan_v2_converted_80408,The Nobel Prize has established when Shakespeare was alive.,0
ai2-adapt-dev/flan_v2_converted_80410,Piano is a musical instrument.,1
ai2-adapt-dev/flan_v2_converted_80410,Piano is a cooking tool.,0
ai2-adapt-dev/flan_v2_converted_80412,myoblast is a type of cell involved in muscle development.,1
ai2-adapt-dev/flan_v2_converted_80412,myoblast is a type of cell not involved in muscle development.,0
ai2-adapt-dev/flan_v2_converted_80412,fusion is the process of combining two entities.,1
ai2-adapt-dev/flan_v2_converted_80412,fission is the process of combining two entities.,0
ai2-adapt-dev/flan_v2_converted_80412,glycoprotein is a molecule composed of a protein and a carbohydrate.,1
ai2-adapt-dev/flan_v2_converted_80412,glycoprotein is a molecule composed of a fat and a water.,0
ai2-adapt-dev/flan_v2_converted_80412,lovastatin is a medication used to lower cholesterol.,1
ai2-adapt-dev/flan_v2_converted_80412,lovastatin is a medication used to lower blood sugar.,0
ai2-adapt-dev/flan_v2_converted_80428,George Soros is American.,1
ai2-adapt-dev/flan_v2_converted_80428,George Soros is Chinese.,0
ai2-adapt-dev/flan_v2_converted_80432,John D. Rockefeller was a major businessman not a guitar player.,1
ai2-adapt-dev/flan_v2_converted_80432,John D. Rockefeller became famous as a guitar player.,0
ai2-adapt-dev/flan_v2_converted_80432,Sea otters are found only in or near seas or oceans.,1
ai2-adapt-dev/flan_v2_converted_80432,Sea otters can often be found in mountain streams.,0
ai2-adapt-dev/flan_v2_converted_80450,Little Women was published in 1868.,1
ai2-adapt-dev/flan_v2_converted_80450,Little Women was published in 1468.,0
ai2-adapt-dev/flan_v2_converted_80512,A Hound is a type of dog.,1
ai2-adapt-dev/flan_v2_converted_80512,A Hound is a type of fish.,0
ai2-adapt-dev/flan_v2_converted_80514,The Great Gatsby was published in 1925.,1
ai2-adapt-dev/flan_v2_converted_80514,The Great Gatsby was published in 1825.,0
ai2-adapt-dev/flan_v2_converted_80514,The novel 1984 was published in 1949.,1
ai2-adapt-dev/flan_v2_converted_80514,The novel 1984 was published in 1599.,0
ai2-adapt-dev/flan_v2_converted_80514,Mercury is the smallest planet in the solar system.,1
ai2-adapt-dev/flan_v2_converted_80514,Mercury is the largest planet in the solar system.,0
ai2-adapt-dev/flan_v2_converted_80514,"Mercury has a radius of 1,516 miles.",1
ai2-adapt-dev/flan_v2_converted_80514,"Mercury has a radius of 8,516 miles.",0
ai2-adapt-dev/flan_v2_converted_80514,Aurangabad is located in Maharashtra.,1
ai2-adapt-dev/flan_v2_converted_80514,Aurangabad is located in China.,0
ai2-adapt-dev/flan_v2_converted_80514,Marathi is an Indo-Aryan language spoken predominantly by people in India.,1
ai2-adapt-dev/flan_v2_converted_80514,Marathi is an Indo-Aryan language spoken predominantly by people in Iceland.,0
ai2-adapt-dev/flan_v2_converted_80514,Communion is the body and blood of Christ given out during mass.,1
ai2-adapt-dev/flan_v2_converted_80514,Communion is the books of Christ given out during mass.,0
ai2-adapt-dev/flan_v2_converted_80514,"Wednesday comes from Old English Wodnesdaeg referring to Woden, also called Odin.",1
ai2-adapt-dev/flan_v2_converted_80514,"Wednesday comes from ancient Phoenician term Waidansi, meaning middle waters.",0
ai2-adapt-dev/flan_v2_converted_80514,Odin was the pagan god of Norse mythology.,1
ai2-adapt-dev/flan_v2_converted_80514,Odin was the pagan god of Chinese mythology.,0
ai2-adapt-dev/flan_v2_converted_80514,Sony is the maker of the Playstation.,1
ai2-adapt-dev/flan_v2_converted_80514,Apple is the maker of the Playstation.,0
ai2-adapt-dev/flan_v2_converted_80514,Marilyn Manson is a heavy metal band.,1
ai2-adapt-dev/flan_v2_converted_80514,Marilyn Manson is a country music band.,0
ai2-adapt-dev/flan_v2_converted_80517,"Confluentia" means confluence.,1
ai2-adapt-dev/flan_v2_converted_80517,"Confluentia" means sun.,0
ai2-adapt-dev/flan_v2_converted_80517,Switzerland’s two largest rivers are the Rhine and Aare.,1
ai2-adapt-dev/flan_v2_converted_80517,Iraq’s two largest rivers are the Rhine and Aare.,0
ai2-adapt-dev/flan_v2_converted_80530,Snails and slugs lack a backbone.,1
ai2-adapt-dev/flan_v2_converted_80530,Snails and slugs have a backbone.,0
ai2-adapt-dev/flan_v2_converted_80532,The Brooklyn Dodgers was an American Major League baseball team.,1
ai2-adapt-dev/flan_v2_converted_80532,The Brooklyn Dodgers was an American National Basketball Association team.,0
ai2-adapt-dev/flan_v2_converted_80538,There are no human habitants on the moon.,1
ai2-adapt-dev/flan_v2_converted_80538,There are human habitants on the moon.,0
ai2-adapt-dev/flan_v2_converted_80545,Advantageous means favourable.,1
ai2-adapt-dev/flan_v2_converted_80545,Advantageous means disgusting.,0
ai2-adapt-dev/flan_v2_converted_80551,Denial refers to non-acceptance.,1
ai2-adapt-dev/flan_v2_converted_80551,Denial refers to acceptance.,0
ai2-adapt-dev/flan_v2_converted_60034,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1
ai2-adapt-dev/flan_v2_converted_60034,Carbon dioxide molecules consist of a central carbon atom bonded to two hydrogen atoms.,0
ai2-adapt-dev/flan_v2_converted_60040,A dog is an animal.,1
ai2-adapt-dev/flan_v2_converted_60040,A dog is not an animal.,0
ai2-adapt-dev/flan_v2_converted_60047,"A car is something you drive, not cook with.",1
ai2-adapt-dev/flan_v2_converted_60047,"A car is something you cook with, not drive.",0
ai2-adapt-dev/flan_v2_converted_60051,Toyo Suisan is a Japanese company specializing in ramen noodles.,1
ai2-adapt-dev/flan_v2_converted_60051,Toyo Suisan is a Japanese company specializing in making cars.,0
ai2-adapt-dev/flan_v2_converted_60051,Złota is a river of Poland.,1
ai2-adapt-dev/flan_v2_converted_60051,Złota is a river of Mexico.,0
ai2-adapt-dev/flan_v2_converted_60054,A table does not melt at room temperature.,1
ai2-adapt-dev/flan_v2_converted_60054,The table melts at room temperature.,0
ai2-adapt-dev/flan_v2_converted_60067,A Banana is a food while a phone is an electronic device.,1
ai2-adapt-dev/flan_v2_converted_60067,A phone is a food while a Banana is an electronic device.,0
ai2-adapt-dev/flan_v2_converted_60071,Samsung Galaxy S II is made by a Korean company.,1
ai2-adapt-dev/flan_v2_converted_60071,Samsung Galaxy S II is made by a German company.,0
ai2-adapt-dev/flan_v2_converted_60078,500 grams is 0.5 kilogram.,1
ai2-adapt-dev/flan_v2_converted_60078,500 grams is 4.5 kilogram.,0
ai2-adapt-dev/flan_v2_converted_60079,The digits of Pi are infinite.,1
ai2-adapt-dev/flan_v2_converted_60079,The digits of Pi are finite.,0
